Fecha,LugarAccidente,Operador,OrigenDestino,TipoAeronave,TotalAbordo,TripulacionAbordo,PasajerosAbordo,TotalFallecidos,TripulacionFallecida,PasajerosFallecidos,FallecidosEnTierra,Longitud,Latitud
2002-01-14 00:00:00,"Bilbao, Spain",Ibertrans Aérea,Madrid - Bilbao,Embraer EMB-120 Brasilia,3,3,0,3,3,0,0,-2.9350039,43.2630018
2002-01-15 00:00:00,"Chilpancingo, Mexico",Procuraduría General de la República,Mexico City - Chilpancingo,de Havilland DHC-6 Twin Otter 300,17,2,15,5,0,5,0,-99.5048416,17.5542149
2002-01-16 00:00:00," Solo, Indonesia",Garuda Indonesia Airlines,Mataram - Yogyakarta - Jakarta,Boeing B-737-3Q8,62,8,54,1,1,0,0,110.828448,-7.5692489
2002-01-17 00:00:00," La Bonita, Ecuador",Petroproducción,Quito - Lago Agrio,Fairchild FH-227E,26,5,21,26,5,21,0,-77.5460728,0.4729531
2002-01-27 00:00:00," Luena, Angola",Military - Angolan  Air Force,Sin dato,Antonov AN-12,40,6,34,5,2,3,0,19.9122676,-11.7790355
2002-01-28 00:00:00," Ipiales, Colombia",TAME,Quito -  Tulcán - Cali,Boeing B-727-134,92,9,83,92,9,83,0,-77.6402069,0.8278641
2002-02-12 00:00:00," Khorramabed, Iran",Iran Air Tours,Tehran - Khorramabed,Tupolev TU-154,117,9,108,117,9,108,0,54.5643516,32.6475314
2002-02-15 00:00:00,"Monrovia, Liberia",Tiramavia,Sin dato,Antonov 12BP,10,7,3,1,1,0,0,-10.797788,6.328034
2002-02-21 00:00:00,"Lakhta, Russia",Military - Russian Navy,Sanofov - Lakhta,Antonov AN-26,20,8,12,17,5,12,0,30.1673669,59.9911386
2002-02-22 00:00:00," Dumaguete, Philippines",Military - U.S. Army,Basilan - Mactan Island,MH-47 Chinook helicopter,10,6,4,10,6,4,0,123.3080446,9.3054777
2002-03-09 00:00:00,"Monte Rotondo, Italy",Svedijos Prekés,"Budapest, Hungary - Tunis, Tunisia",Antonov 2TP,3,2,1,3,2,1,0,15.6074501,40.1893309
2002-03-14 00:00:00," Placetas, Cuba",Charter - Aerotaxi,Cienfuegos -- Cayo Coco,Antonov AN-2,17,2,15,17,2,15,0,-79.6533987,22.3142933
2002-03-17 00:00:00," Djibouti, Republic of Djibouti",Djibouti Airlines,"Mogadishu, Somalia - Djibouti",Let 410UVP-E,4,4,0,4,4,0,0,42.8453061,11.8145966
2002-04-12 00:00:00,"Palma de Mallorca, Spain",Tadair,Madrid - Palma de Mallorca,Swearingen SA.227AC Metro III,2,2,0,2,2,0,0,2.709183392285786,39.58130105
2002-04-15 00:00:00,"Busan, South Korea",Air China,Beijing - Busan,Boeing B-767-200ER,166,11,155,128,8,120,0,129.0752365,35.1799528
2002-04-19 00:00:00,"Popayán, Colombia",SELVA Colombia,Medellín - Popayán,Antonov AN-32A,8,3,5,3,0,3,0,-76.6072368,2.4422295
2002-04-28 00:00:00," Abakan, Russia",Private,Sin dato,Mi-8 helicopter,20,3,17,8,2,6,0,91.4403553,53.7206497
2002-05-04 00:00:00,"Kano, Nigeria",EAS Airlines (Executive Airline Services),Abuja - Jos - Kano - Lagos,BAC One-Eleven 525FT,77,8,69,74,7,67,78,8.5364136,11.8948389
2002-05-07 00:00:00," Tunis, Tunisia",EgyptAir,Cairo - Tunis,Boeing B-737-566,62,6,56,14,3,11,0,9.400138,33.8439408
2002-05-07 00:00:00," Dalian, China",China Northern Airlines,Beijing - Dalian,McDonnell Douglas MD-82,112,9,103,112,9,103,0,121.6282945,38.9181714
2002-05-21 00:00:00," Calabar, Nigeria",Sky Executive Air Services,Port Harcourt - Calabar,LET 410UVP,5,5,0,5,5,0,0,8.3373597,4.9795999
2002-05-25 00:00:00," Penghu Island, Taiwan",China Airlines (Taiwan),Taipei - Hong Kong,Boeing B-747-209B,225,19,206,225,19,206,0,120.9820179,23.9739374
2002-05-25 00:00:00," Nabire, Indonesia",Trigana Air Service,Nabire - Enaotali,de Havilland Canada DHC-6 Twin Otter 300,6,4,2,6,4,2,0,135.5023653,-3.360285
2002-06-01 00:00:00,"George, South Africa",Airquarius Aviation - Charter,Bloemfontein - George,Hawker Siddeley HS-748-372,3,2,1,3,2,1,0,22.459722,-33.964444
2002-06-02 00:00:00," Ndalatando, Angola",Military - Angolan Armed Forces,Luanda - demobilization camp,Mi-17,25,2,23,20,2,18,0,14.9144981,-9.2984831
2002-06-12 00:00:00," Gardez, Afghanistan",Military - U.S. Air Force,Sin dato,Lockheed MC-130H Hercules,10,8,2,3,3,0,0,69.2235518,33.6014533
2002-07-01 00:00:00,"Uberlingen, Germany",Bashkirian Airlines / DHL Worldwide Express,Moscow-Munich-Barcelona / Bahrain/Brussels,Tupolev TU-154M / Boeing B-757-23APF,71,14,57,71,14,57,0,9.1666488,47.7667246
2002-07-04 00:00:00,"Bangui, Central African Republic",Prestige Airlines (Cargo) Charter,"N'Djamena, Chad - Brazzaville, Congo",Boeing B-707-123B,27,8,19,27,8,19,0,18.5509126,4.3907153
2002-07-16 00:00:00," Long Barai, Indonesia",Sabang Merauke Raya Air Charter,Tarakan - Krayan,Britten-Norman BN-2A Islander,10,2,8,10,2,8,0,117.8902853,-2.4833826
2002-07-16 00:00:00," Cromer, Norfork, England",Bristow Helicopters,Gas platform Clipper - drilling rig Golbal Sante Fe Monach,Sikorsky S-76A,11,2,9,11,2,9,0,-1.2649062,52.5310214
2002-07-17 00:00:00,"Surkhet, Nepal",Skyline Airways,Jumla - Surkhet,de Havilland Canada DHC-6 Twin Otter 300,4,2,2,4,2,2,0,81.51379460511195,28.6573817
2002-07-27 00:00:00,"Lviv, Ukraine",Military - Ukraine Air Force,Sin dato,Sukhoi Su-27,2,2,0,0,0,0,85,24.0315921,49.841952
2002-07-28 00:00:00,"Moscow, Russia",Pulkovo Aviation Enterprise,Moscow - St. Petersburgh,Iluyshin Il-86,16,16,0,14,14,0,0,37.6174943,55.7504461
2002-08-07 00:00:00,"Caguas, Puerto Rico",Military - U.S. Air Force,Roosevelt Roads NS - Borinquen NGB,Lockheed MC-130H Hercules,10,7,3,10,7,3,0,-66.0351316,18.2345399
2002-08-15 00:00:00,"Kadjuduwa Watta, Sri Lanka",Military - Sri Lanka Air Force,Sin dato,Yunshuji Y-8D,5,5,0,5,5,0,0,80.7137847,7.5554942
2002-08-19 00:00:00,"Khankala, Chechnya",Military - Russian Air Force,Sin dato,Mil Mi-26,147,5,142,121,0,121,0,45.78183959910841,43.296848
2002-08-22 00:00:00,"Pokhara, Nepal",Shangri La Air,Jomsom - Pokhara,de Havilland Canada DHC-6-300 Twin Otter,18,3,15,18,3,15,0,83.991402,28.209538
2002-08-29 00:00:00," Ayan, Russia",Vostok Aviakompania,Khabarovsk - Ayan,Antonov AN-28,16,2,14,16,2,14,0,138.1817339,56.4609007
2002-08-30 00:00:00,"Rio Branco, Brazil",Rico Taxi Aéreo,Cruzeiro do Sul - Tarauaca - Rio Branco,Embraer 120ER Brasilia,31,3,28,23,3,20,0,-67.8220778,-9.9765362
2002-09-14 00:00:00,"Paranapanema, Sao Paulo, Brazil",Total  Air Lines,Guarulhos - Londrina,ATR 42-300,2,2,0,2,2,0,0,-48.720868,-23.390161
2002-09-28 00:00:00," Natashquan, Quebec, Canada",Deraps Aviation,Lake de l'Avion - Agunish River,de Havilland Canada DHC-3 Otter,4,1,3,3,0,3,0,-61.8174062,50.1839077
2002-10-01 00:00:00,"Vasco, India",Military - Indian Navy,Military exercises,Ilyushin IL-38 / Ilyushin IL-38,12,12,0,12,12,0,5,73.8138295,15.3993935
2002-11-06 00:00:00," Niederanven, Luxembourg",Luxair,"Berlin, Germany - Luxembourg",Fokker 50,22,3,19,20,2,18,0,6.2552342,49.6512224
2002-11-07 00:00:00,"Tarakan, Indonesia",Dirgantara Air Services,Tarakan - Long Bawan,Britten-Norman BN-2A-21,10,1,9,7,1,6,0,117.59862807440442,3.3416343
2002-11-08 00:00:00,"Taos, New Mexico",Richmor Aviation,"Las Vegas, NV - Taos, NM",IAI 1124A Westwind,2,2,0,2,2,0,0,-105.573284,36.4072377
2002-11-11 00:00:00,"Manila, Philippines",Laoag International Airlines,Manila - Laoag,Fokker F27 Friendship 100,34,5,29,19,1,18,0,120.9782618,14.5948914
2002-11-28 00:00:00,"Masai Mara Game Reserve, Kenya",Eagle Aviation,Ol Kiombo - Mombasa,Let 410UVP-E20,20,2,18,1,1,0,0,38.4313975,1.4419683
2002-12-13 00:00:00,"Gohu Airstrip, Papua New Guinea",Island Airways Ltd.,Gohu - Madang,Britten-Norman BN-2A-26 Islander,8,1,7,8,1,7,0,144.2489081,-5.6816069
2002-12-17 00:00:00,"Rockford, Illinois",Planemasters,Decatur - Rockford,Cessna 208B Caravan I Super Cargomaster,1,1,0,1,1,0,0,-89.093966,42.2713945
2002-12-21 00:00:00," Pachao Tao, Taiwan",Transasia Airways,Taipei - Macau,Aérospatiale/Aeritalia ATR-72-202,2,2,0,2,2,0,0,120.9820179,23.9739374
2002-12-23 00:00:00," Isfanan, Iran",Aeromist-Kharkiv,"Kharkiv, Ukraine - Trabzon, Turkey - Isfanan, Iran",Antonov AN-140,44,6,38,44,6,38,0,54.5643516,32.6475314
2002-12-26 00:00:00,"Curitiba, Brazil",Military - Brazilian Air Force,Sao Paulo - Porto Alegre,Embraer-110 C-95B Bandeirante,16,3,13,3,1,2,0,-49.2712724,-25.4295963
2002-12-27 00:00:00,"Anjouan, Comoros Islands",Ocean Airlines,Moroni Hahaya - Anjouan,Let 410UVP,16,2,14,1,0,1,0,44.41070486098224,-12.22656805
2003-01-08 00:00:00,"Charlotte, North Carolina",US Air Express/Air Midwest,"Charlotte, NC - Greer, SC",Beech BE-1900D,21,2,19,21,2,19,0,-80.8430827,35.2272086
2003-01-08 00:00:00,"Diyarbakir, Turkey",Turkish Airlines (THY),Istanbul - Ankara - Diyarbakir,BAe Avro RJ-100,80,5,75,75,4,71,0,40.2363542,37.9162222
2003-01-09 00:00:00," Chachapoyas, Peru",TANS Airlines,Chiclayo - Chachapoyas,Fokker 28 Fellowship 1000,46,4,42,46,4,42,0,-77.8093378,-6.3718272
2003-01-17 00:00:00," Ndjolé, Gabon",Aerocom,Brazzaville - Douala,Antonov 24B,7,2,5,7,2,5,0,10.76817,-0.1810723
2003-01-24 00:00:00,"Busia, Kenya",African Commuter Services,Busia - Nairobi,Grumman G-159 Gulfstream I,13,2,11,3,2,1,0,34.26479520608315,0.3712048
2003-01-31 00:00:00,"Baucau, East Timor",Euro Asia Aviation,Macau - Baucau,Ilyushin II-76TD,6,4,2,6,4,2,0,126.4585621,-8.4650462
2003-02-07 00:00:00," Agadir, Morocco",Volare Aviation Enterprise,Agadir - Algiers,Antonov 12BP,8,8,0,8,8,0,0,-9.55950887633639,30.42203615
2003-02-10 00:00:00,"Tallinn, Estonia",Enimex,Tallinn - Helsinki,Antonov AN-28,3,3,0,2,2,0,0,24.7453688,59.4372155
2003-02-16 00:00:00,"Ferguson, Kentucky",Air Taxi - Great Northern Aircraft Co.,"Griffith-Merrill, IN - Somerset, KY",Cessna 421,7,1,6,3,1,2,0,-84.5999413,37.0667444
2003-02-19 00:00:00," Shahdad, Iran",Military - Islamic Revolution's Guards Corps,Zahedan - Kerman,Ilyushin Il-76MD,275,18,257,275,18,257,0,57.7023666,30.4196387
2003-02-20 00:00:00," Kohat, Pakistan",Military - Pakistan Air Force,Islamabad - Kohat,Fokker F-27 Friendship 200,17,8,9,17,8,9,0,71.4399944,33.5967144
2003-03-01 00:00:00," Barki, Russia",Private - Kabanov - skydiving,Skydiving,Let L-410UVP,25,2,23,11,2,9,0,43.7682914,54.0231811
2003-03-06 00:00:00,"Tamanrasset, Algeria",Air Algerie,Tamanrasset - Algiers,Boeing B-737-2T4,103,6,97,102,6,96,0,4.3208436,24.3753438
